,start_district,finish_district,count,total_distance,total_duration,day,time
419,000,602,2.0,32463.0,8803.0,2.0,day
420,000,602,2.0,30043.0,8232.0,4.0,day
421,000,602,1.0,21962.0,5985.0,4.0,morning
422,000,602,1.0,13592.0,3602.0,4.0,night
423,000,602,1.0,14884.0,3948.0,5.0,morning
424,000,701,1.0,16978.0,4642.0,2.0,day
425,000,701,1.0,22490.0,5902.0,5.0,evening
426,000,701,1.0,16978.0,4642.0,6.0,day
427,000,701,1.0,19473.0,5143.0,6.0,evening
428,000,702,1.0,17682.0,4857.0,6.0,day
429,000,702,2.0,35364.0,9714.0,6.0,evening
430,101,000,19.0,163713.0,44906.0,0.0,day
431,101,000,3.0,27932.0,7439.0,0.0,evening
432,101,000,11.0,109043.0,29731.0,0.0,morning
433,101,000,14.0,129283.0,34269.0,0.0,night
434,101,000,31.0,267433.0,71364.0,1.0,day
435,101,000,17.0,130448.0,35997.0,1.0,evening
436,101,000,11.0,86567.0,23578.0,1.0,morning
437,101,000,2.0,18444.0,4760.0,1.0,night
438,101,000,39.0,354419.0,94487.0,2.0,day
439,101,000,11.0,92043.0,24924.0,2.0,evening
440,101,000,15.0,124220.0,34092.0,2.0,morning
441,101,000,32.0,285811.0,76790.0,3.0,day
442,101,000,20.0,188143.0,49628.0,3.0,evening
443,101,000,18.0,146056.0,40100.0,3.0,morning
444,101,000,4.0,34547.0,9595.0,3.0,night
445,101,000,21.0,194136.0,51106.0,4.0,day
446,101,000,15.0,126334.0,34128.0,4.0,evening
447,101,000,10.0,88152.0,24208.0,4.0,morning
448,101,000,1.0,6453.0,1807.0,4.0,night
449,101,000,17.0,139304.0,37155.0,5.0,day
450,101,000,18.0,168303.0,44762.0,5.0,evening
451,101,000,5.0,47322.0,12654.0,5.0,morning
452,101,000,5.0,43784.0,11670.0,5.0,night
453,101,000,26.0,228930.0,61966.0,6.0,day
454,101,000,7.0,63748.0,17124.0,6.0,evening
455,101,000,5.0,40753.0,10980.0,6.0,morning
456,101,000,10.0,90480.0,24760.0,6.0,night
457,101,101,3574.0,3372582.0,972871.0,0.0,day
458,101,101,2197.0,2206945.0,631797.0,0.0,evening
459,101,101,1046.0,1072900.0,305402.0,0.0,morning
460,101,101,968.0,974178.0,277970.0,0.0,night
461,101,101,5052.0,4794244.0,1392930.0,1.0,day
462,101,101,2564.0,2467451.0,712724.0,1.0,evening
463,101,101,3377.0,3440591.0,1002013.0,1.0,morning
464,101,101,267.0,304680.0,86088.0,1.0,night
465,101,101,5542.0,5302130.0,1539807.0,2.0,day
466,101,101,2650.0,2619283.0,752213.0,2.0,evening
467,101,101,3731.0,3832576.0,1114931.0,2.0,morning
468,101,101,175.0,197450.0,56526.0,2.0,night
469,101,101,5750.0,5450982.0,1582143.0,3.0,day
470,101,101,2875.0,2844155.0,817908.0,3.0,evening
471,101,101,3813.0,3946839.0,1148470.0,3.0,morning
472,101,101,229.0,243125.0,70054.0,3.0,night
473,101,101,5277.0,5008672.0,1455056.0,4.0,day
474,101,101,2931.0,2859278.0,822564.0,4.0,evening
475,101,101,3650.0,3731380.0,1086663.0,4.0,morning
476,101,101,198.0,218729.0,63012.0,4.0,night
477,101,101,4961.0,4646982.0,1344006.0,5.0,day
478,101,101,3019.0,2978045.0,853281.0,5.0,evening
479,101,101,3200.0,3247986.0,943450.0,5.0,morning
480,101,101,203.0,208719.0,58963.0,5.0,night
481,101,101,3972.0,3697661.0,1064429.0,6.0,day
482,101,101,2965.0,2854998.0,815978.0,6.0,evening
483,101,101,1534.0,1566497.0,450187.0,6.0,morning
484,101,101,687.0,697322.0,199017.0,6.0,night
485,101,102,2698.0,4548239.0,1329634.0,0.0,day
486,101,102,1593.0,2675332.0,799022.0,0.0,evening
487,101,102,857.0,1393773.0,406944.0,0.0,morning
488,101,102,752.0,1156043.0,351207.0,0.0,night
489,101,102,3487.0,5385352.0,1606180.0,1.0,day
490,101,102,1753.0,2865454.0,858648.0,1.0,evening
491,101,102,3848.0,5191854.0,1553092.0,1.0,morning
492,101,102,216.0,349606.0,104971.0,1.0,night
493,101,102,3769.0,5791776.0,1729209.0,2.0,day
494,101,102,1917.0,3085292.0,924338.0,2.0,evening
495,101,102,4357.0,5825044.0,1741478.0,2.0,morning
496,101,102,140.0,234434.0,71373.0,2.0,night
497,101,102,4470.0,6900972.0,2054604.0,3.0,day
498,101,102,2148.0,3499130.0,1046624.0,3.0,evening
499,101,102,4381.0,6009679.0,1790752.0,3.0,morning
500,101,102,172.0,280312.0,85547.0,3.0,night
501,101,102,3942.0,6066470.0,1806830.0,4.0,day
502,101,102,2121.0,3487227.0,1038716.0,4.0,evening
503,101,102,4059.0,5382288.0,1610099.0,4.0,morning
504,101,102,157.0,263312.0,79707.0,4.0,night
505,101,102,3516.0,5448580.0,1617905.0,5.0,day
506,101,102,2282.0,3817748.0,1132254.0,5.0,evening
507,101,102,3457.0,4701542.0,1405132.0,5.0,morning
508,101,102,169.0,264595.0,80644.0,5.0,night
509,101,102,3494.0,5870141.0,1709999.0,6.0,day
510,101,102,2354.0,3985755.0,1174400.0,6.0,evening
511,101,102,1293.0,2001534.0,591456.0,6.0,morning
512,101,102,500.0,801768.0,242288.0,6.0,night
513,101,103,4323.0,6877726.0,2089090.0,0.0,day
514,101,103,2925.0,4747245.0,1450446.0,0.0,evening
